codice_articolo,descrizione,fornitore,unita_misura,esistenza,consumo_medio_giornaliero,giorni_inventario,punto_riordino,quantita_riordino,urgenza_riordino,prezzo_unitario,valore_giacenza
BEV.VIN.00014,VINO GROTTE GRECO DI TUFO 75 CL,BELLAGAIA SRL,BT,12.0,1.3,9.2,14.0,39.0,URGENTE,8.5,102.0
BEV.SOF.00014,COCA COLA 33CL X 24 VAP,FABBROCINO MICHELE SRL,BT,24.0,4.576086956521739,5.2,55.0,137.0,URGENTE,0.805,19.32
BEV.SOF.00016,SCHWEPPES GINGER ALE 18CL X 24,FABBROCINO MICHELE SRL,BT,0.0,1.625,0.0,21.0,49.0,URGENTE,0.7033,0.0
BEV.VIN.00012,VINO BIANCOLELLA ISCHIA 75 CL,BELLAGAIA SRL,BT,0.0,1.0526315789473684,0.0,9.0,32.0,URGENTE,12.3,0.0
BEV.SOF.00018,LEMONSODA 20CL X 24 VAP,FABBROCINO MICHELE SRL,BT,20.0,1.9795918367346939,10.1,23.0,59.0,URGENTE,0.47,9.399999999999999
BEV.SOF.00040,GINGER BEER KILNEY 20CLX24 VAP,FABBROCINO MICHELE SRL,PZ,0.0,1.6896551724137931,0.0,16.0,51.0,URGENTE,0.6333,0.0
BEV.VIN.00005,VINO IL MONTE IDA GIORDANO 75 CL,CARICO INIZIALE,BT,9.0,1.2727272727272727,7.1,13.0,38.0,URGENTE,0.0,0.0
BEV.VIN.00004,VINO ROSSO SAMMARCO 75 CL,CASA VINICOLA ETTORE SAMMARCO,BT,0.0,2.272727272727273,0.0,27.0,68.0,URGENTE,3.3,0.0
BEV.VIN.00003,VINO ROSATO SAMMARCO 75 CL,CASA VINICOLA ETTORE SAMMARCO,BT,0.0,1.0,0.0,7.0,30.0,URGENTE,4.5,0.0
BEV.VIN.00002,VINO BIANCO SAMMARCO 75 CL,CASA VINICOLA ETTORE SAMMARCO,BT,0.0,2.260869565217391,0.0,27.0,68.0,URGENTE,3.3,0.0
BEV.TEQ.00004,TEQUILA DON JULIO BLANCO 70CL,FABBROCINO MICHELE SRL,LT,2.8,15.0,0.2,178.0,450.0,URGENTE,63.4286,177.60008
BEV.TEQ.00003,TEQUILA CASAMIGOS ANEJO 70CL,AMAZON,LT,1.4,6.0,0.2,42.0,180.0,URGENTE,33.3143,46.64002
BEV.TEQ.00001,TEQUILA JOSE CUERVO 70CL,BELLAGAIA SRL,LT,2.3,10.88679245283019,0.2,143.0,327.0,URGENTE,23.5714,54.21422
BEV.SOF.00076,COCA COLA 20 CL X 24 VAP,FABBROCINO MICHELE SRL,BT,12.0,1.6756756756756757,7.2,19.0,50.0,URGENTE,0.6817,8.180399999999999
BEV.SOF.00045,COCA COLA ZERO 33CLX24 VAP,FABBROCINO MICHELE SRL,PZ,48.0,4.147368421052631,11.6,50.0,124.0,URGENTE,0.805,38.64
BEV.SOF.00051,"SODA SIFONE 1,5LT",BELLAGAIA SRL,LT,30.0,12.424390243902439,2.4,177.0,373.0,URGENTE,1.6667,50.001000000000005
BEV.SOF.00059,SUCCO BASE CRANBERRY 1LT,BELLAGAIA SRL,LT,2.0,4.564516129032258,0.4,53.0,137.0,URGENTE,3.8,7.6
BEV.SOF.00060,SUCCO BASE ANANAS,FABBROCINO MICHELE SRL,LT,3.0,19.142857142857142,0.2,246.0,574.0,URGENTE,1.9067,5.7201
BEV.SOF.00065,LEMON SODA CRODO,FABBROCINO MICHELE SRL,PZ,0.0,5.5,0.0,71.0,165.0,URGENTE,0.47,0.0
BEV.VIN.00015,VINO PENDINO FIANO DI AVELLINO 75 CL,BELLAGAIA SRL,BT,6.0,1.0,6.0,7.0,30.0,URGENTE,8.5,51.0
BEV.VIN.00018,VINO VETTE SAUVIGNON BLANC 75 CL,BELLAGAIA SRL,BT,0.0,1.1538461538461537,0.0,11.0,35.0,URGENTE,9.2,0.0
BEV.VIN.00017,VINO CHARDONNAY FRIULI 75 CL,BELLAGAIA SRL,BT,4.0,1.4166666666666667,2.8,15.0,42.0,URGENTE,7.3,29.2
FOO.SDO.00070,CREMA DI COCCO 400GR,BELLAGAIA SRL,KG,1.2,6.061538461538461,0.2,78.0,182.0,URGENTE,12.125,14.549999999999999
FOO.PPP.00026,PANNA FRESCA LIQUIDA,BELLAGAIA SRL,LT,0.0,7.714285714285714,0.0,74.0,231.0,URGENTE,0.0,0.0
FOO.PPP.00009,ALBUME D'UOVO 1LT,BELLAGAIA SRL,LT,4.0,2.375,1.7,27.0,71.0,URGENTE,3.8,15.2
BEV.WHS.00016,WHISKY TALISKER 70CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,55.0857,0.0
BEV.WHS.00014,WHISKY MACCALLAN 12Y 70CL,FABBROCINO MICHELE SRL,LT,0.0,9.0,0.0,93.0,270.0,URGENTE,113.8857,0.0
BEV.WHS.00013,WHISKY LAPHROIG 10Y 70CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,50.4,0.0
BEV.WHS.00010,WHISKEY JIM BEAM RYE 70CL,FABBROCINO MICHELE SRL,LT,0.0,5.0,0.0,35.0,150.0,URGENTE,23.7714,0.0
BEV.WHS.00009,WHISKEY JIM BEAM BOURBON 1LT,FABBROCINO MICHELE SRL,LT,1.0,10.9,0.1,126.0,327.0,URGENTE,15.68,15.68
BEV.WHS.00007,WHISKEY BULLEIT BOURBON 70CL,FABBROCINO MICHELE SRL,LT,0.7,6.0,0.1,42.0,180.0,URGENTE,23.8857,16.71999
BEV.WHS.00004,WHISKY JAMESON 1 LT,BELLAGAIA SRL,LT,1.0,17.428571428571427,0.1,231.0,523.0,URGENTE,19.7,19.7
BEV.WHS.00003,WHISKY JOHNNY WALKER BLACK LABEL,BELLAGAIA SRL,LT,0.0,11.333333333333334,0.0,150.0,340.0,URGENTE,33.5714,0.0
BEV.WHS.00001,WHISKY JACK DANIEL'S,FABBROCINO MICHELE SRL,LT,1.0,17.714285714285715,0.1,205.0,531.0,URGENTE,24.48,24.48
BEV.VOD.00013,VODKA ALTAMURA 70CL,BELLAGAIA SRL,LT,1.4,15.333333333333334,0.1,205.0,460.0,URGENTE,30.0,42.0
BEV.VOD.00012,VODKA KETEL ONE 1LT,FABBROCINO MICHELE SRL,LT,0.0,10.0,0.0,94.0,300.0,URGENTE,24.2,0.0
BEV.VOD.00009,VODKA CITRON ABSOLUT 1LT,BELLAGAIA SRL,LT,1.0,8.0,0.1,101.0,240.0,URGENTE,17.5,17.5
BEV.VOD.00008,VODKA BASE (STOLI) 1LT,FABBROCINO MICHELE SRL,LT,4.0,12.397260273972602,0.3,154.0,372.0,URGENTE,13.44,53.76
BEV.VOD.00007,VODKA NEMIROFF 1LT,FABBROCINO MICHELE SRL,LT,3.0,6.0,0.5,42.0,180.0,URGENTE,10.64,31.92
BEV.VOD.00003,VODKA GREY GOOSE 1LT,FABBROCINO MICHELE SRL,LT,0.7,14.307692307692308,0.0,144.0,429.0,URGENTE,50.4,35.279999999999994
BEV.VIN.00036,VINO ROSSO BASE (SAMMARCO 75CL),CASA VINICOLA ETTORE SAMMARCO,LT,80.25,49.875,1.6,720.0,1496.0,URGENTE,4.6667,374.50267499999995
BEV.VIN.00033,VINO ROSATO BASE (SAMMARCO 75CL),CASA VINICOLA ETTORE SAMMARCO,LT,90.0,39.0,2.3,474.0,1170.0,URGENTE,6.4,576.0
BEV.VIN.00031,VINO BIANCO BASE (SAMMARCO 75CL),CASA VINICOLA ETTORE SAMMARCO,LT,103.5,97.95918367346938,1.1,1670.0,2939.0,URGENTE,4.6667,483.00345
BEV.VIN.00030,VINO CAPITIROSE TRAMONTI 75 CL,BELLAGAIA SRL,BT,12.0,1.3333333333333333,9.0,13.0,40.0,URGENTE,11.0,132.0
BEV.VIN.00029,VINO ROSIE AGLIANICO IRPINIA 75 CL,BELLAGAIA SRL,BT,10.0,2.0,5.0,14.0,60.0,URGENTE,7.9,79.0
BEV.VIN.00028,VINO SALICERCHI DOC 75 CL,AZIENDA AGRICOLA BIO PALMA RAFFAELE,BT,0.0,1.0,0.0,7.0,30.0,URGENTE,18.0,0.0
BEV.VIN.00027,VINO MONTECORVO DOC 75 CL,CARICO INIZIALE,BT,0.0,1.0,0.0,7.0,30.0,URGENTE,18.0,0.0
BEV.VIN.00026,VINO MONTEPULCIANO D'ABRUZZO 75 CL,BELLAGAIA SRL,BT,7.0,1.1666666666666667,6.0,11.0,35.0,URGENTE,7.7,53.9
BEV.VIN.00025,VINO NIPOZZANO VECCHIE VITI 75 CL,BELLAGAIA SRL,BT,6.0,1.0,6.0,7.0,30.0,URGENTE,16.9,101.39999999999999
BEV.VIN.00020,VINO VADANTICO AGLIANICO 75 CL,BELLAGAIA SRL,BT,10.0,1.25,8.0,12.0,38.0,URGENTE,7.9,79.0
BEV.VIN.00019,VINO PUNTA CROCE DOC 75 CL,AZIENDA AGRICOLA BIO PALMA RAFFAELE,BT,0.0,1.5,0.0,15.0,45.0,URGENTE,18.0,0.0
BEV.VIN.00016,VINO PINOT GRIGIO FRIULI 75 CL,BELLAGAIA SRL,BT,6.0,1.6666666666666667,3.6,16.0,50.0,URGENTE,7.3,43.8
BEV.SOF.00003,SUCCO ARANCIA AMITA 20CL X 24,FABBROCINO MICHELE SRL,BT,0.0,1.0,0.0,7.0,30.0,URGENTE,0.48,0.0
BEV.RUM.00010,RUM HAVANA 3Y 1LT,FABBROCINO MICHELE SRL,LT,4.44089209850063e-16,8.15625,0.0,93.0,245.0,URGENTE,16.24,7.212008767965023e-15
BEV.RUM.00011,RUM HAVANA 7Y 1LT,FABBROCINO MICHELE SRL,LT,2.0,9.0,0.2,93.0,270.0,URGENTE,30.24,60.48
BEV.GIN.00012,GIN J.ROSE 70CL,BELLAGAIA SRL,LT,5.55111512312578e-17,9.333333333333334,0.0,87.0,280.0,URGENTE,48.1429,2.672467802611321e-15
BEV.GIN.00009,GIN BULLDOG 1LT,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,22.28,0.0
BEV.GIN.00008,GIN BASE (BEEFEATER),FABBROCINO MICHELE SRL,LT,5.0,10.378571428571428,0.5,215.0,311.0,URGENTE,16.64,83.2
BEV.GIN.00005,GIN MARE 1LT,FABBROCINO MICHELE SRL,LT,0.7,10.0,0.1,94.0,300.0,URGENTE,52.2514,36.575979999999994
BEV.GIN.00003,GIN HENDRIK'S,CARICO INIZIALE,LT,2.8,6.0,0.5,42.0,180.0,URGENTE,48.2743,135.16804
BEV.GIN.00002,GIN BOMBAY SAPPHIRE 1LT,FABBROCINO MICHELE SRL,LT,1.0,11.823529411764707,0.1,141.0,355.0,URGENTE,20.08,20.08
BEV.GIN.00001,GIN TANQUERAY 1LT,BELLAGAIA SRL,LT,0.999999999999998,10.0,0.1,106.0,300.0,URGENTE,18.5,18.499999999999964
BEV.DIS.00012,DISTILLATO MEZCAL VIDA DEL MAGUEY,AMAZON,LT,0.0,2.0,0.0,30.0,60.0,URGENTE,53.2857,0.0
BEV.DIS.00009,DISTILLATO PISCO BARSOL 70CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,37.4857,0.0
BEV.DIS.00007,GRAPPA BARRICATA 18 LUNE 70CL,BELLAGAIA SRL,LT,0.0,8.333333333333334,0.0,97.0,250.0,URGENTE,32.8571,0.0
BEV.DIS.00005,GRAPPA BIANCA BARBERA 70CL,BELLAGAIA SRL,LT,-4.44089209850063e-16,2.5,-0.0,32.0,75.0,URGENTE,22.1429,-9.833422964788961e-15
BEV.COG.00002,COGNAC MARTELL 70CL,FABBROCINO MICHELE SRL,LT,2.22044604925031e-16,9.375,0.0,93.0,281.0,URGENTE,40.0,8.88178419700124e-15
BEV.CAF.00003,CAFFE IN GRANI,KAROMA CAFFE,KG,38.0,66.375,0.6,877.0,1991.0,URGENTE,18.5,703.0
BEV.BOL.00013,PROSECCO BASE (BIANCAVIGNA 75CLX6),BELLAGAIA SRL,LT,95.75,216.6140350877193,0.4,2678.0,6498.0,URGENTE,6.1333,587.263475
BEV.GIN.00013,GIN MONKEY 47 50CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,75.84,0.0
BEV.BOL.00010,PROSECCO CUVEE REAL FRANCIACORTA 75 CL,BELLAGAIA SRL,BT,6.0,1.0,6.0,7.0,30.0,URGENTE,16.9,101.39999999999999
BEV.BOL.00007,PROSECCO PRIMA CUVEE TREVISO 75 CL,BELLAGAIA SRL,BT,5.0,1.0,5.0,7.0,30.0,URGENTE,7.8,39.0
BEV.BOL.00003,CHAMPAGNE SECRET DE FAMILLE 75 CL,BELLAGAIA SRL,BT,3.0,1.0,3.0,7.0,30.0,URGENTE,28.0,84.0
BEV.BOL.00001,PROSECCO BASE (TERRA SERENA 75CL X 6),FABBROCINO MICHELE SRL,BT,0.0,1.5,0.0,16.0,45.0,URGENTE,5.76,0.0
BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,FABBROCINO MICHELE SRL,LT,60.0000000000001,359.61538461538464,0.2,4570.0,10788.0,URGENTE,4.175,250.5000000000004
BEV.BIR.00004,BIRRA TENNENT'S SUPER CL 33X24 VAP,AMALFI SEI ESSE SRL,PZ,0.0,5.5,0.0,73.0,165.0,URGENTE,1.47,0.0
BEV.APE.00006,CAMPARI,FABBROCINO MICHELE SRL,LT,11.0,12.0,0.9,159.0,360.0,URGENTE,16.4,180.39999999999998
BEV.APE.00005,CAMPARI SODA 10CL X 50PZ VAP,FORNITORE PER MODIFICHE ARTICOLI,BT,0.0,1.0,0.0,7.0,30.0,URGENTE,0.0,0.0
BEV.APE.00003,APEROL,BELLAGAIA SRL,LT,23.0,36.72,0.6,447.0,1102.0,URGENTE,12.0,276.0
BEV.AMA.00006,AMARO AVERNA 1 LT,CARICO INIZIALE,LT,0.999999999999999,6.0,0.2,42.0,180.0,URGENTE,16.24,16.23999999999998
BEV.AMA.00005,AMARO RAMAZZOTTI 1LT,CARICO INIZIALE,LT,-2.22044604925031e-16,9.6,-0.0,90.0,288.0,URGENTE,13.2,-2.930988785010409e-15
BEV.AMA.00004,AMARO DEL CAPO 1LT,CARICO INIZIALE,LT,1.0,13.0,0.1,211.0,390.0,URGENTE,16.42,16.42
BEV.AMA.00002,AMARO JAGERMEISTER,FABBROCINO MICHELE SRL,LT,1.0,8.0,0.1,77.0,240.0,URGENTE,16.97,16.97
BEV.AMA.00001,AMARO FERNET BRANCA,CARICO INIZIALE,LT,1.5,6.0,0.2,42.0,180.0,URGENTE,0.0,0.0
BEV.ACQ.00006,ACQUA NATIA/ELECTA 75CL X12 VAR,FABBROCINO MICHELE SRL,BT,84.0,7.214285714285714,11.6,86.0,216.0,URGENTE,0.504,42.336
BEV.BOL.00008,PROSECCO ROSE DOC 75 CL,BELLAGAIA SRL,BT,3.0,1.0,3.0,7.0,30.0,URGENTE,9.45,28.349999999999998
BEV.GIN.00020,GIN BALLKANIKO,HAKANI JURGEN,LT,1.4,1.3571428571428572,1.0,13.0,41.0,URGENTE,45.7143,64.00001999999999
BEV.GUA.00001,GRANATINA MONIN,FABBROCINO MICHELE SRL,LT,1.0,3.0172413793103448,0.3,41.0,91.0,URGENTE,10.8571,10.8571
BEV.GUA.00007,SCIROPPO FIORI DI SAMBUCO 70CL,FABBROCINO MICHELE SRL,LT,1.4,6.388059701492537,0.2,101.0,192.0,URGENTE,14.9714,20.95996
BEV.RUM.00009,RUM BASE DARK GOSLING 1LT,BELLAGAIA SRL,LT,1.11022302462516e-16,9.6,0.0,90.0,288.0,URGENTE,26.0,2.886579864025416e-15
BEV.RUM.00002,RUM BACARDI CARTA BLANCA 1LT,FABBROCINO MICHELE SRL,LT,2.0,14.090277777777779,0.1,181.0,423.0,URGENTE,15.04,30.08
BEV.RUM.00001,RUM ZACAPA 23,FABBROCINO MICHELE SRL,LT,-2.22044604925031e-16,5.4,-0.0,76.0,162.0,URGENTE,52.52,-1.166178265066263e-14
BEV.LIQ.00054,LIQUORE BRIOTTET MORE 70CL,BELLAGAIA SRL,LT,0.0,2.4,0.0,33.0,72.0,URGENTE,20.8571,0.0
BEV.LIQ.00050,LIQUORE ORANGE CURACAO MONIN 70CL,BELLAGAIA SRL,LT,0.0,2.0357142857142856,0.0,21.0,61.0,URGENTE,23.8571,0.0
BEV.LIQ.00048,LIQUORE TRIPLE SEC BOLS,CARICO INIZIALE,LT,0.0,3.754385964912281,0.0,48.0,113.0,URGENTE,0.0,0.0
BEV.LIQ.00045,LIQUORE VERMOUTH CARPANO ROSSO 1LT,FABBROCINO MICHELE SRL,LT,3.0,4.359375,0.7,49.0,131.0,URGENTE,9.6,28.799999999999997
BEV.LIQ.00043,LIQUORE VERMOUTH CARPANO DRY 1 LT,BELLAGAIA SRL,LT,1.0,1.09375,0.9,12.0,33.0,URGENTE,10.6,10.6
BEV.LIQ.00039,LIQUORE PEACH TREE 70CL,FABBROCINO MICHELE SRL,LT,0.0,2.0,0.0,14.0,60.0,URGENTE,15.1429,0.0
BEV.LIQ.00038,LIQUORE FRANGELICO 70CL,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,18.8571,0.0
BEV.LIQ.00032,LIQUORE MILIARE 70CL,MINIERI MARIANO,LT,2.1,9.785714285714286,0.2,119.0,294.0,URGENTE,22.2857,46.79997
BEV.LIQ.00030,AMARETTO DISARONNO,FABBROCINO MICHELE SRL,LT,0.0,7.431818181818182,0.0,73.0,223.0,URGENTE,17.28,0.0
BEV.LIQ.00027,LIQUORE LIMONCELLO LT.2,AMALFI SEI ESSE SRL,LT,12.0,25.77,0.5,325.0,773.0,URGENTE,7.3,87.6
BEV.LIQ.00022,LIQUORE KALHUA 1 LT,BELLAGAIA SRL,LT,1.0,3.0444444444444443,0.3,34.0,91.0,URGENTE,14.0,14.0
BEV.LIQ.00019,LIQUORE DRAMBUIE 70CL,FABBROCINO MICHELE SRL,LT,-1.11022302462516e-16,6.0,-0.0,42.0,180.0,URGENTE,34.8,-3.863576125695556e-15
BEV.LIQ.00014,"LIQUORE SAMBUCA MOLINARI 1,5LT",FABBROCINO MICHELE SRL,LT,1.5,14.25,0.1,150.0,428.0,URGENTE,17.7067,26.560050000000004
BEV.LIQ.00013,LIQUORE GRAND MARNIER 1LT,FABBROCINO MICHELE SRL,LT,7.21644966006352e-16,14.25,0.0,138.0,428.0,URGENTE,20.0,1.443289932012704e-14
BEV.GUA.00008,SCIROPPO D'ORZATA FABBRI 1LT,BELLAGAIA SRL,LT,-2.22044604925031e-16,2.7142857142857144,-0.0,28.0,81.0,URGENTE,12.0,-2.664535259100372e-15
BEV.GUA.00009,SCIROPPO D'AGAVE MONIN 70CL,BELLAGAIA SRL,LT,0.7,2.0,0.4,24.0,60.0,URGENTE,22.8571,15.999969999999998
BEV.GUA.00010,SCIROPPO DI ZUCCHERO,FABBROCINO MICHELE SRL,LT,0.0,3.6139240506329116,0.0,45.0,108.0,URGENTE,9.84,0.0
BEV.GUA.00012,ANGOSTURA,FORNITORE PER MODIFICHE ARTICOLI,LT,-5.55111512312578e-17,1.0,-0.0,7.0,30.0,URGENTE,62.5,-3.4694469519536126e-15
BEV.GUA.00015,SUCCO DI POMODORO 200ML,BELLAGAIA SRL,LT,1.2,1.9230769230769231,0.6,21.0,58.0,URGENTE,6.5,7.8
BEV.GUA.00021,LATTE DI COCCO 1LT,BELLAGAIA SRL,LT,3.0,6.0,0.5,81.0,180.0,URGENTE,12.65,37.95
BEV.RUM.00015,RUM DIPLOMATICO RESERVE EXCLUSIVA,FABBROCINO MICHELE SRL,LT,0.0,6.0,0.0,42.0,180.0,URGENTE,0.0,0.0
BEV.GUA.00040,SCIROPPO ANGURIA MONIN 1LT,BELLAGAIA SRL,LT,0.0,7.5,0.0,74.0,225.0,URGENTE,11.5,0.0
BEV.LIQ.00001,LIQUORE CREMA DI MELONE,CARICO INIZIALE,LT,4.44089209850063e-16,9.173469387755102,0.0,151.0,275.0,URGENTE,0.0,0.0
BEV.LIQ.00002,LIQUORE CREMA DI LIMONCELLO 1LT,BELLAGAIA SRL,LT,8.88178419700125e-16,6.472222222222222,0.0,68.0,194.0,URGENTE,21.0,1.8651746813702627e-14
BEV.LIQ.00004,LIQUORE DI FINOCCHIETTO 1LT,CARICO INIZIALE,LT,0.5,7.714285714285714,0.1,74.0,231.0,URGENTE,0.0,0.0
BEV.LIQ.00005,LIQUORE CONCERTO DI ERBE 50CL,CARICO INIZIALE,LT,1.0,12.0,0.1,143.0,360.0,URGENTE,0.0,0.0
BEV.LIQ.00006,LIQUORE CICERENELLA 50CL,CARICO INIZIALE,LT,0.500000000000002,8.75,0.1,101.0,262.0,URGENTE,0.0,0.0
BEV.LIQ.00011,LIQUORE BAYLE'S,BELLAGAIA SRL,LT,0.0,6.857142857142857,0.0,64.0,206.0,URGENTE,15.8,0.0
BEV.LAT.00001,LATTE INTERO UHT LT.1,AMALFI SEI ESSE SRL,LT,41.0,25.62857142857143,1.6,305.0,769.0,URGENTE,1.267,51.946999999999996
FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,AMALFI SEI ESSE SRL,PZ,0.0,2.0,0.0,14.0,60.0,URGENTE,0.25,0.0
